"Week","Day","Platform","Pillar","Content Type & Concept","Copy Angle & Objective"
"Week 1: Establishing Authority","Day 1","Facebook / IG","Authority Hook","Reel/Video: ""Hand-drawn sketch vs. Ghorbari 3D Structural Model.""","Safety First: ""Don't gamble your life savings. A professional plan saves 15% in material waste."""
"Week 1: Establishing Authority","Day 2","Facebook","Legal Guidance","Carousel: ""3 Reasons RAJUK rejects your building plan.""","Authority: ""FAR (Floor Area Ratio) রুলস না মানলে বাড়ি ভাঙা পড়তে পারে। আমাদের জানুন।"""
"Week 1: Establishing Authority","Day 3","Instagram","Renovation","Before & After Photos: A poorly planned room vs. Ghorbari optimized layout.","Space Optimization: ""Small Space, Big Design. ১২০০ স্কয়ার ফিট ফ্ল্যাটকে আরও প্রশস্থ করুন।"""
"Week 1: Establishing Authority","Day 4","FB / IG / YT","Market Intelligence","Infographic: ""Commodity Price Update: Rod/Cement rates + Estimation Tool""","Transparency: ""জানুন বর্তমান বাজার দর। লুকানো খরচ থেকে বাঁচতে AI Estimator ব্যবহার করুন।"""
"Week 1: Establishing Authority","Day 5","Facebook","Meet the Pro","Photo/Quote: Lead Architect discussing Soil Testing.","Trust: ""আপনার ফাউন্ডেশন কি ভূমিকম্প সহনশীল? (Factor of Safety > 1.5)"""
"Week 1: Establishing Authority","Day 6","FB Group","Engagement","Poll: ""বাড়ি বানানোর ক্ষেত্রে সবচেয়ে বড় ভয় কী? A) Hidden Costs B) Poor Quality""","Lead Gen: Monitor comments closely (Response time < 30 mins)."
"Week 1: Establishing Authority","Day 7","YouTube / FB","Offer Stacking","Ad Video: ""The Design Audit Bundle""","Entry Offer: ""Book a Design Audit + Site Health Checkup at a nominal fee."""
"Week 2: The Certainty of Finish","Day 1","IG / Facebook","Consistency","3D Walkthrough Video: A luxurious modern duplex interior.","Aesthetic: ""Your dream home in 3D. We design it, we source it, we build it."""
"Week 2: The Certainty of Finish","Day 2","Facebook","Transparency","Screen-Record/Blog: ""How to read a BOQ (Bill of Quantities).""","Anti-Cheating: ""How we track every bag of cement. No markup, just fixed-fee transparency."""
"Week 2: The Certainty of Finish","Day 3","Instagram","Material Forensic","Comparison Reel: ""Gorjan vs. Local Plywood.""","Durability: ""কেন সস্তা প্লাইউড ৬ মাসে ফুলে যায়? Learn the layers of high-quality boards."""
"Week 2: The Certainty of Finish","Day 4","FB / IG","Reality Check","Short Video (Reel): The Soft-Close Magic (Kitchen cabinetry).","Quality Axis: ""Luxury is in the silence. প্রিমিয়াম হার্ডওয়্যার, এক্সপার্ট কার্পেন্টার।"""
"Week 2: The Certainty of Finish","Day 5","Facebook","Case Study","Multi-Photo Post: Complete flat handover.","Portfolio: ""From 2D drawing to physical reality."""
"Week 2: The Certainty of Finish","Day 6","FB Story / IG","Interactive","Quiz: ""Lighting 101: Warm vs. White for the Living Room?""","Engagement: Drive community aesthetic choices."
"Week 2: The Certainty of Finish","Day 7","FB / IG","Lead Hook","Ad Graphic: ""The Sample Box Output""","Friction Fixing: ""We bring the showroom to you. Get our sample box delivered to your office."""
"Week 3: Solving the Mistry Gap","Day 1","Facebook / IG","Reality Check","Reel: The 5-Step Paint Protocol.","Technical Fix: ""রঙ করার ৬ মাস পরেই পলেস্তারা খসে পড়ছে? ড্যাম্প প্রুফিং ছাড়া রঙ করা মানেই ক্ষতি।"""
"Week 3: Solving the Mistry Gap","Day 2","Instagram","Renovation","Macro Video: Unvetted string measurement vs. Ghorbari Laser Leveler.","Precision: ""Millimeter precision. Because your tiles shouldn't have gaps/cracks."""
"Week 3: Solving the Mistry Gap","Day 3","FB / WhatsApp","Value Engineering","Infographic: Glass Selection 101 (Clear, Tinted, Frosted).","Energy Efficiency: ""Privacy + Heat Control."""
"Week 3: Solving the Mistry Gap","Day 4","Facebook","Humanizing","Photo: Certified technician working with a vacuum/cleaning sheet.","Brand Integrity: ""We respect your home. No mess, just a masterpiece."""
"Week 3: Solving the Mistry Gap","Day 5","FB / YT","Myth Buster","Comparison Video: Local Aluminium vs. Ghorbari Air-Tight Framing.","Execution: ""বৃষ্টি এলে কি জানালা দিয়ে পানি ঢোকে? The value of precision measurement."""
"Week 3: Solving the Mistry Gap","Day 6","Facebook","Promotion","Lead Ad: ""Book a Free Site Health Checkup.""","Conversion: ""Targeting 'The Repairer' persona to switch out bad tiles/paint."""
"Week 3: Solving the Mistry Gap","Day 7","Facebook Group","Authority","Q&A Session: ""Ask us anything about damp walls or cracked tiles!""","Community: Establish the ""Sage/Advisor"" archetype directly."
"Week 4: The Technical Guardian","Day 1","FB / IG / YT","Case Study","Video Testimonial: ""How we saved 10% on Rod/Cement.""","Social Proof: Let actual clients speak to the Value Engineering savings."
"Week 4: The Technical Guardian","Day 2","Facebook","Guarantee","Carousel: ""The Ghorbari Workmanship Warranty.""","Objection Handling: ""Yes, we cost 5% more upfront than a mistry, but we last 3x longer."""
"Week 4: The Technical Guardian","Day 3","WhatsApp","Direct Outreach","Telesales Blast: Follow up with Week 2 & 3 Leads.","Sales Conversion: Telesales team focuses on booking ""Zoom Consultations"" or Site Visits."
"Week 4: The Technical Guardian","Day 4","Instagram","Transformation","Full Before/After: Old damp apartment to a modern smart-home.","Aesthetic Check: Final push on visual excellence."
"Week 4: The Technical Guardian","Day 5","Facebook","Value Engineering","Infographic: ""The Actual Cost of Cheap Labor.""","Financial Logic: A cost-breakdown comparison over a 5-year span."
"Week 4: The Technical Guardian","Day 6","Facebook","Promo","Ad Campaign: Complete ""Design to Finish"" Package.","Offer Stack: Bundle design, procurement, and execution."
"Week 4: The Technical Guardian","Day 7","FB / YT","Brand Story","Personal Video: The Founder's Mission against hidden costs.","Trust Wrap-up: ""আমরা চাই না আপনার জীবনের জমানো টাকা কোনো ভুল সিদ্ধান্তে নষ্ট হোক।"""
